Name,Object Val,logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
B,1,3.3213000000000017,0.0,0.0,0.0,0.0,4.770285393893817,0.0,0.0,0.0,0.0,0.0,0.0,16.5597856912349,19.35356795036218,7.01921490344727,4.497859019106906,4.770285393893817,0.0,0.0
C,1,3.3213000000000017,0.0,0.0,0.0,0.0,4.770285393893817,0.0,0.0,0.0,0.0,0.0,0.0,16.5597856912349,19.35356795036218,7.01921490344727,4.497859019106906,4.770285393893817,0.0,0.0
CR-21-1,2,1.5111600000000005,0.0,0.0,0.0,0.0,8.395662551791265,0.0,0.0,0.0,0.0,0.0,0.0,19.09473988809337,5.220071295804507,2.303414784510835,1.7991436076427625,8.395662551791265,0.0,0.0
CR-23-1,6,2.028480000000001,0.0,0.0,0.0,0.0,7.406542170926894,0.0,0.0,0.0,0.0,0.0,0.0,18.125041480100766,10.262783064485236,3.31195713824698,1.7991436076427625,7.406542170926894,0.0,0.0
