Name,Y value,logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
EA,-24,0.8549,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,9.988313673002589,19.976627346005177,9.988313673002589,0.0,0.0,0.0,0.0
MAA,180,0.7665,11.615750958299458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299458,11.615750958299458,0.0,11.615750958299458,0.0,0.0,0.0
AN,104,0.81538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84516809889945,0.0,0.0,0.0,0.0,18.84516809889945,18.84516809889945,0.0,0.0,0.0,0.0
VAc,30,0.3924999999999999,0.0,0.0,0.0,0.0,11.615750958299456,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299456,11.615750958299456,11.615750958299456,0.0,0.0,0.0,0.0
VCl,87,1.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.000256004096066,16.000256004096066,0.0,0.0,0.0,0.0
PP,0,1.3117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76369382856872,23.76369382856872,23.76369382856872,0.0,0.0,0.0,0.0
PE,-125,0.9216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.29108148570616,0.0,0.0,0.0,0.0,0.0
1-butene,-24,1.7018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82277037142654,35.64554074285308,17.82277037142654,0.0,0.0,0.0,0.0
3-methyl-1butene,50,1.9478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.51643259428246,14.25821629714123,28.51643259428246,0.0,0.0,0.0,0.0
pentene,-40,2.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25821629714123,42.77464889142369,14.25821629714123,0.0,0.0,0.0,0.0
4methyl1pentene,30,2.3379000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76369382856872,23.76369382856872,23.76369382856872,0.0,0.0,0.0,0.0
1hexene,-50,2.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.881846914284358,47.52738765713743,11.881846914284358,0.0,0.0,0.0,0.0
octadecene,55,7.163200000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.960615638094787,63.36985020951659,3.960615638094787,0.0,0.0,0.0,0.0
2MethylSt,136,2.553020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461740241498068,8.461740241498068,8.461740241498068,8.461740241498068,0.0,0.0,0.0,0.0
vinyl cyclopentene,75,2.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.98964366298233,20.79585746519293,0.0,0.0,0.0,0.0
vinyl alcohol,84,-0.1783,0.0,0.0,22.699929630218147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.699929630218147,22.699929630218147,0.0,0.0,0.0,0.0
vinyl methyl ether,-22,0.4758,0.0,0.0,0.0,17.21763085399449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21763085399449,17.21763085399449,17.21763085399449,0.0,0.0,0.0,0.0
vinyl ethyl ether,-31,0.8659,0.0,0.0,0.0,13.86827908524831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86827908524831,27.73655817049662,13.86827908524831,0.0,0.0,0.0,0.0
vinyl isopropyl ether,-3,1.2544,0.0,0.0,0.0,11.609817261476303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21963452295261,11.609817261476303,23.21963452295261,0.0,0.0,0.0,0.0
vinyl hexyl ether,-50,2.4263000000000003,0.0,0.0,0.0,7.799399446242639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799399446242639,46.79639667745583,7.799399446242639,0.0,0.0,0.0,0.0
vinyl octyl ether,-79,3.206500000000002,0.0,0.0,0.0,6.3992218546224775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3992218546224775,51.19377483697982,6.3992218546224775,0.0,0.0,0.0,0.0
