Name,Y value,logP,MR,carboxy,carboxylate,hydroxy,ether,ester,ketone,epoxy,amide,cyano,amine,ammonium,phenyl,methyl,methylene,methyne,quat_carbon,vinyl,asetylene,siloxane
sample1,0.282907134,2.1062783204412807,44.30043947245532,0.0,0.0,0.0,0.0,5.18167931509921,6.692847027204459,0.0,0.0,0.0,0.0,0.0,0.0,21.41499347226671,8.408245019910233,6.383516417387032,4.049457205046403,5.18167931509921,0.0,0.0
sample2,1.298631487,2.131384490610236,43.34710767510003,0.0,0.0,0.0,0.0,3.996430535609803,9.30942266711191,0.0,0.0,0.0,0.0,0.0,0.0,22.88357136198705,9.287592784053858,7.434440203854697,3.706305160398322,3.996430535609803,0.0,0.0
sample3,-0.061582177,1.923529784232406,40.370820215584544,0.0,0.0,0.0,0.0,4.4433244833468715,8.935444858282494,0.0,0.0,0.0,0.0,0.0,0.0,23.036075717697695,8.199019747042303,6.706500819881881,2.985037854320845,4.4433244833468715,0.0,0.0
sample4,-0.030730706,1.9954952354196402,44.55085261379057,0.0,0.0,0.0,0.0,7.002578956740827,2.8959783905381595,0.0,0.0,0.0,0.0,0.0,0.0,19.41587782181981,6.781750807923666,4.648246162861831,4.267009290123668,7.002578956740827,0.0,0.0
sample5,0.734303165,1.902907254282551,39.55196170910874,0.0,0.0,0.0,0.0,4.036507377896578,9.923829312106342,0.0,0.0,0.0,0.0,0.0,0.0,23.64422920441646,8.389267058372116,7.018326097444538,2.741881921855156,4.036507377896578,0.0,0.0
sample6,0.761442715,1.8978580662231233,40.471950375782114,0.0,0.0,0.0,0.0,4.902421978710266,7.9711752556525095,0.0,0.0,0.0,0.0,0.0,0.0,22.52400122584574,7.7975595525584716,6.272770782665585,3.0495775397857736,4.902421978710266,0.0,0.0
sample7,-0.04242008,2.358011979972408,48.914092063106146,0.0,0.0,0.0,0.0,5.509954319409594,5.169355352881748,0.0,0.0,0.0,0.0,0.0,0.0,20.087366659329142,9.15180263237753,6.5249526500028665,5.253699964749324,5.509954319409594,0.0,0.0
sample8,-0.02592714,1.4494464740474386,30.58053326469475,0.0,0.0,0.0,0.0,2.875910915270952,13.962110196099273,0.0,0.0,0.0,0.0,0.0,0.0,26.784013037585282,7.426184662521967,7.248132836733035,0.35610365157786483,2.875910915270952,0.0,0.0
sample9,-0.012282053,1.2409321011108725,29.219836424148436,0.0,0.0,0.0,0.0,4.724523282224192,10.40402892275587,0.0,0.0,0.0,0.0,0.0,0.0,25.096375757549865,5.408443506216298,5.325871888280953,0.16514323587069035,4.724523282224192,0.0,0.0
sample10,1.424303144,1.6760012610027637,37.39355452568772,0.0,0.0,0.0,0.0,5.4642028149616655,7.379293036942404,0.0,0.0,0.0,0.0,0.0,0.0,22.57533730959706,6.579607139771801,5.4236228912515605,2.311968497040478,5.4642028149616655,0.0,0.0
sample11,1.078878276,2.1952308115926527,46.045760697991994,0.0,0.0,0.0,0.0,5.396811457250676,5.9291748762000385,0.0,0.0,0.0,0.0,0.0,0.0,20.815558366010343,8.605453124144699,6.349106849726827,4.512692548835743,5.396811457250676,0.0,0.0
sample12,0.586029739,2.5601089534881885,50.92735171667625,0.0,0.0,0.0,0.0,4.316638458252088,7.257747500074647,0.0,0.0,0.0,0.0,0.0,0.0,20.93649366919611,10.711851262937126,7.878660257777204,5.6663820103198415,4.316638458252088,0.0,0.0
sample13,-0.175320586,1.7318334924696863,40.13841741438867,0.0,0.0,0.0,0.0,7.020517763905812,3.6693496363184526,0.0,0.0,0.0,0.0,0.0,0.0,20.33088538603249,5.763801836875157,4.192151029388784,3.143301614972744,7.020517763905812,0.0,0.0
sample14,0.824391304,1.713743209214552,37.2617830907154,0.0,0.0,0.0,0.0,4.803818059502057,8.76382252818029,0.0,0.0,0.0,0.0,0.0,0.0,23.309026209333624,7.160192754385497,6.048880158267355,2.222625192236281,4.803818059502057,0.0,0.0
sample15,0.450076845,1.7449752581803206,37.39218644415873,0.0,0.0,0.0,0.0,4.463671169344356,9.440545041938872,0.0,0.0,0.0,0.0,0.0,0.0,23.64495222638287,7.5042341448986845,6.390649495326985,2.227169299143398,4.463671169344356,0.0,0.0
sample16,0.036088123,1.8522217455643222,40.47936343919587,0.0,0.0,0.0,0.0,5.570026897783083,6.59461075360167,0.0,0.0,0.0,0.0,0.0,0.0,21.80892428805477,7.182077187231334,5.628168463059134,3.1078174483443983,5.570026897783083,0.0,0.0
sample17,0.949477144,2.0222877435651387,40.90733071309656,0.0,0.0,0.0,0.0,3.4747499979008927,10.832089194204046,0.0,0.0,0.0,0.0,0.0,0.0,23.95765909935317,9.216171158328578,7.696120533837956,3.0401012489812422,3.4747499979008927,0.0,0.0
sample18,1.051022567,1.8606609799018994,37.92138282789662,0.0,0.0,0.0,0.0,3.243530552402333,11.856735070223712,0.0,0.0,0.0,0.0,0.0,0.0,24.836947199792995,8.752284983375668,7.622718004070143,2.2591339586110495,3.243530552402333,0.0,0.0
sample19,1.043417285,1.8986376383531902,39.76816806592915,0.0,0.0,0.0,0.0,4.284674977658208,9.372922171606021,0.0,0.0,0.0,0.0,0.0,0.0,23.333224145456246,8.208915749457015,6.799933883995413,2.8179637309232035,4.284674977658208,0.0,0.0
sample20,0.704050227,1.6451000410502812,37.460979772197526,0.0,0.0,0.0,0.0,5.970026040405712,6.324962593044916,0.0,0.0,0.0,0.0,0.0,0.0,22.02046020722532,6.127302480755052,4.941374007062014,2.3718569473860747,5.970026040405712,0.0,0.0
