Tag,ChemicalName,SMILES,MW (g/mol),logP,MR,carboxy,carboxylate,hydroxy,ether,ester,ketone,epoxy,amide,cyano,amine,ammonium,phenyl,methyl,methylene,methyne,quat_carbon,vinyl,asetylene,siloxane
mibk,mibk,CC(C)CC(=O)C,100.161,1.6215,30.13599999999998,0.0,0.0,0.0,0.0,0.0,19.967851758668544,0.0,0.0,0.0,0.0,0.0,0.0,29.95177763800282,9.983925879334272,9.983925879334272,0.0,0.0,0.0,0.0
ibxma,ibxma,CC(=C)C(=O)OC1CC2CCC1(C2(C)C)C,222.32799999999995,3.320500000000002,63.923000000000044,0.0,0.0,0.0,0.0,4.497859019106906,4.497859019106906,0.0,0.0,0.0,0.0,0.0,0.0,17.991436076427625,13.49357705732072,8.995718038213813,8.995718038213813,4.497859019106906,0.0,0.0
MMA,methyl methacrylate,CC(=C)C(=O)OC,100.11699999999999,0.7355,26.829999999999988,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.976627346005177,0.0,0.0,0.0,9.988313673002589,0.0,0.0
