,Monomer ,Q,e,MW,Monomer
82,p-chloromethyl- Styrene,1.39,-0.38,,p-chloromethyl- Styrene
83,p-1-(2-hydroxypropyl)- Styrene,1.08,-0.35,,p-1-(2-hydroxypropyl)- Styrene
84,α-methoxy Styrene,1.53,-1.4,,α-methoxy Styrene
85,α-methyl Styrene,0.97,-0.81,,α-methyl Styrene
86,p-methyl Styrene,1.1,-0.63,,p-methyl Styrene
87,N-vinyl Succinimide,0.19,-1.42,,N-vinyl Succinimide
88,1-vinyl- Tetrazole,0.13,-0.14,,1-vinyl- Tetrazole
89,5-phenyl-2-(4'-vinyl)-phenyl- Tetrazole,1.11,0.53,,5-phenyl-2-(4'-vinyl)-phenyl- Tetrazole
90,"N,N-methyl-vinyl- Toluenesulphonamide",0.18,-0.53,,"N,N-methyl-vinyl- Toluenesulphonamide"
91,Triallyl citrate,0.054,0.26,,Triallyl citrate
92,Vinyl acetate,0.026,-0.88,86.09,Vinyl acetate
93,Vinyl benzoate,0.03,-0.89,,Vinyl benzoate
94,Vinyl bromide,0.038,-0.23,,Vinyl bromide
95,Vinyl isobutyl ether,0.03,-1.27,,Vinyl isobutyl ether
96,Vinyl isobutyl sulfide,0.49,-0.95,,Vinyl isobutyl sulfide
97,Vinyl tert-butyl sulfide,0.046,-2.2,,Vinyl tert-butyl sulfide
98,Vinyl chloride,0.056,0.16,,Vinyl chloride
99,Vinyl chloroacetate,0.039,-1.61,,Vinyl chloroacetate
100,Vinyl dichloroacetate,0.059,-1.38,,Vinyl dichloroacetate
101,Vinyl 2-chloroethyl ether,0.019,-1.64,,Vinyl 2-chloroethyl ether
102,Vinyl chloromethyl ketone,16.0,1.78,,Vinyl chloromethyl ketone
103,Vinyl cymantrene,0.39,-0.57,,Vinyl cymantrene
104,Vinyl dodecyl ether,0.041,-1.69,,Vinyl dodecyl ether
105,Vinylene carbonate,0.04,-0.49,,Vinylene carbonate
106,Vinyl ethyl ether,0.018,-1.8,,Vinyl ethyl ether
107,Vinyl ethyl oxalate,0.056,-0.65,,Vinyl ethyl oxalate
108,Vinyl ethyl sulfide,0.27,-1.31,,Vinyl ethyl sulfide
